Indicator,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
154,City of Johannesburg,City,,,,,,,,,,,,,,2032631000,2067645000,2454311000,2259207000,2491080000,,,,
154,City of Tshwane,City,,,,,,,,,,,,,,2715755873,2931317574,3420875611,4023595573,4457519246,,,,
154,City of Cape Town,City,,,,,,,,,,,,,,4189149000,5272137000,5514246000,5076445000,5546774000,,,,
154,EThekwini Municipality,City,,,,,,,,,,,,,,1614499000,1578952000,1670201000,1728944000,1856376000,,,,
154,Ekurhuleni Municipality,City,,,,,,,,,,,,,,1424234294,1648099498,1735737690,1918134214,2068338584,,,,
154,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,388217097,416967783,471637971,525344419,557666343,,,,
154,Buffalo City Municipality,City,,,,,,,,,,,,,,217864240,228762109,269341269,302755675,339969835,,,,
154,Mangaung Municipality,City,,,,,,,,,,,,,,304807157,345437738,394982667,447213026,723435501,,,,
154,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
155,City of Johannesburg,City,,,,,,,,,,,,,,1983038000,2735183000,2973798000,3646309000,4887885000,,,,
155,City of Tshwane,City,,,,,,,,,,,,,,2715755873,2931317574,3420875611,4023595573,4457519246,,,,
155,City of Cape Town,City,,,,,,,,,,,,,,4189149000,5272137000,5514246000,5076445000,5546774000,,,,
155,EThekwini Municipality,City,,,,,,,,,,,,,,1114815000,1207289000,1360863000,1531972000,1704306000,,,,
155,Ekurhuleni Municipality,City,,,,,,,,,,,,,,1023197584,1109305048,1242701255,1368239186,1820276075,,,,
155,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,239256869,284416965,307268439,364974993,504905239,,,,
155,Buffalo City Municipality,City,,,,,,,,,,,,,,195737092,214427174,243352437,271383807,317876795,,,,
155,Mangaung Municipality,City,,,,,,,,,,,,,,304807157,345437738,394982667,447213026,723435501,,,,
155,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
156,City of Johannesburg,City,,,,,,,,,,,,,,12477685000,15209782000,18601300000,19312527000,20355557000,,,,
156,City of Tshwane,City,,,,,,,,,,,,,,7085192399,8594487739,10679046818,11657541940,12348888083,,,,
156,City of Cape Town,City,,,,,,,,,,,,,,8866059000,10493553000,12112884000,13099805000,13903680000,,,,
156,EThekwini Municipality,City,,,,,,,,,,,,,,7841496000,9891173000,11394609000,12499079000,13112696000,,,,
156,Ekurhuleni Municipality,City,,,,,,,,,,,,,,8070035692,10090685315,12598243381,14861038367,14861038367,,,,
156,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,2549064398,3121529761,3490744057,3633444852,3811653520,,,,
156,Buffalo City Municipality,City,,,,,,,,,,,,,,1303156082,1463099072,1754709786,1964268076,2197435143,,,,
156,Mangaung Municipality,City,,,,,,,,,,,,,,1382717567,1689626844,2129061934,718169818,935491481,,,,
156,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
157,City of Johannesburg,City,,,,,,,,,,,,,,6952278000,7134966000,7540386000,6808732000,7765829000,,,,
157,City of Tshwane,City,,,,,,,,,,,,,,2509453939,2504449849,3561339848,4744008495,4976054018,,,,
157,City of Cape Town,City,,,,,,,,,,,,,,3120058000,2636469000,3757835000,5394440000,4442190000,,,,
157,EThekwini Municipality,City,,,,,,,,,,,,,,3733289000,2613046000,3409741000,3657750000,4232396000,,,,
157,Ekurhuleni Municipality,City,,,,,,,,,,,,,,2885992560,3407484103,4568533803,4746558483,5339960744,,,,
157,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,2395942529,1409487378,2134441650,2165211924,2321456824,,,,
157,Buffalo City Municipality,City,,,,,,,,,,,,,,802651054,901582926,905903245,1235137628,1542941916,,,,
157,Mangaung Municipality,City,,,,,,,,,,,,,,858670800,888845901,1211493796,1296186619,1722782784,,,,
157,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
158,City of Johannesburg,City,,,,,,,,,,,,,,181620000,111793000,132957000,153955000,309839000,,,,
158,City of Tshwane,City,,,,,,,,,,,,,,12544162,27625621,21495798,17290290,22006956,,,,
158,City of Cape Town,City,,,,,,,,,,,,,,94225000,93393000,103502000,103144000,115021000,,,,
158,EThekwini Municipality,City,,,,,,,,,,,,,,139488000,132121000,126094000,174304000,169313000,,,,
158,Ekurhuleni Municipality,City,,,,,,,,,,,,,,57093069,112172952,362004390,960645418,1065771011,,,,
158,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,283058979,218228025,285916001,37469531,43157338,,,,
158,Buffalo City Municipality,City,,,,,,,,,,,,,,19578416,19909665,13740886,116332346,152102495,,,,
158,Mangaung Municipality,City,,,,,,,,,,,,,,7557577,8184688,80514164,39936066,93473702,,,,
158,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
159,City of Johannesburg,City,,,,,,,,,,,,,,2482347000,2740623000,4958180000,3331937000,4716975000,,,,
159,City of Tshwane,City,,,,,,,,,,,,,,490888080,804522236,2025848090,2026048033,1264408059,,,,
159,City of Cape Town,City,,,,,,,,,,,,,,2167802000,1832538000,2521841000,3443726000,1684476000,,,,
159,EThekwini Municipality,City,,,,,,,,,,,,,,1776796,1963202000,1786090000,2531759000,2410960000,,,,
159,Ekurhuleni Municipality,City,,,,,,,,,,,,,,1411139515,1015493433,727065353,982817946,1877122683,,,,
159,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,507740626,11632865,563402757,867737854,1118478097,,,,
159,Buffalo City Municipality,City,,,,,,,,,,,,,,34772251,227540122,123730338,485906703,762967722,,,,
159,Mangaung Municipality,City,,,,,,,,,,,,,,302397991,238337248,350923790,342275023,780679235,,,,
159,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
160,City of Johannesburg,City,,,,,,,,,,,,,,4232336000,5468183000,7016546000,4695369000,6036369000,,,,
160,City of Tshwane,City,,,,,,,,,,,,,,2889679799,3120783563,3535265256,3655364120,3217629224,,,,
160,City of Cape Town,City,,,,,,,,,,,,,,3690507000,3910430000,4291329000,4462729000,4726953000,,,,
160,EThekwini Municipality,City,,,,,,,,,,,,,,5090363000,5264046000,5602260000,5245377000,5469860000,,,,
160,Ekurhuleni Municipality,City,,,,,,,,,,,,,,1487240678,2859357050,2863159452,4056146431,5024400584,,,,
160,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,1117404334,787573385,773436531,963242897,1381262375,,,,
160,Buffalo City Municipality,City,,,,,,,,,,,,,,407093485,302407374,466080054,596216671,566146719,,,,
160,Mangaung Municipality,City,,,,,,,,,,,,,,394199713,404387173,763675247,477206160,758018647,,,,
160,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
161,City of Johannesburg,City,,,,,,,,,,,,,,2080305000,2780370000,2181500000,2879653000,2178739000,,,,
161,City of Tshwane,City,,,,,,,,,,,,,,1077083391,709796272,963358574,874303916,1046960083,,,,
161,City of Cape Town,City,,,,,,,,,,,,,,378968000,272692000,437252000,1004470000,547825000,,,,
161,EThekwini Municipality,City,,,,,,,,,,,,,,574189000,628768000,394630000,992720000,1439675000,,,,
161,Ekurhuleni Municipality,City,,,,,,,,,,,,,,1425172319,1445288730,1573793206,887674954,1343750067,,,,
161,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,66176181,522486629,298900288,409730233,186057236,,,,
161,Buffalo City Municipality,City,,,,,,,,,,,,,,24317321,210998044,58206738,106769757,241010582,,,,
161,Mangaung Municipality,City,,,,,,,,,,,,,,93235427,216770042,440626459,316518477,564849390,,,,
161,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
162,City of Johannesburg,City,,,,,,,,,,,,,,5925902000,6468824000,7098305000,7447294000,7892502000,,,,
162,City of Tshwane,City,,,,,,,,,,,,,,3572319226,4304765696,4815286269,5247100572,5977317312,,,,
162,City of Cape Town,City,,,,,,,,,,,,,,5632296000,6184573000,6955786000,7446199000,8640854000,,,,
162,EThekwini Municipality,City,,,,,,,,,,,,,,4632868000,4914202000,6576031000,5911639000,6576461000,,,,
162,Ekurhuleni Municipality,City,,,,,,,,,,,,,,3987222239,3934436655,4257136931,4299619422,4766617621,,,,
162,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,1629721414,1912238132,1858808571,1716616688,1750402267,,,,
162,Buffalo City Municipality,City,,,,,,,,,,,,,,784865582,861417819,952656803,982560038,1129245617,,,,
162,Mangaung Municipality,City,,,,,,,,,,,,,,695516688,749171468,860487677,920307503,1029344532,,,,
162,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
163,City of Johannesburg,City,,,,,,,,,,,,,,23609381000,24789476000,26057141000,29785988000,31554713000,,,,
163,City of Tshwane,City,,,,,,,,,,,,,,10385573703,12018548348,14118095380,16359268905,17544520387,,,,
163,City of Cape Town,City,,,,,,,,,,,,,,14152253000,14733817000,16416945000,19477444000,20580357000,,,,
163,EThekwini Municipality,City,,,,,,,,,,,,,,17355298000,18871890000,21188542000,21252681000,23064108000,,,,
163,Ekurhuleni Municipality,City,,,,,,,,,,,,,,7856804523,9324933355,10470284769,13118783748,14346669489,,,,
163,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,4503606645,5019909150,5423284147,5747653650,5473185490,,,,
163,Buffalo City Municipality,City,,,,,,,,,,,,,,1591326950,1890568295,2457910079,2229944914,2068053496,,,,
163,Mangaung Municipality,City,,,,,,,,,,,,,,1347534742,1587525944,1943714326,3174446083,3453534246,,,,
163,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
164,City of Johannesburg,City,,,,,,,,,,,,,,305832000,695161000,2174445000,5400846000,5327242000,,,,
164,City of Tshwane,City,,,,,,,,,,,,,,111632939,414103598,643631587,686118280,174299426,,,,
164,City of Cape Town,City,,,,,,,,,,,,,,4653456000,3304129000,3481533000,4730196000,2266559000,,,,
164,EThekwini Municipality,City,,,,,,,,,,,,,,520717000,684619000,783420000,979463000,996029000,,,,
164,Ekurhuleni Municipality,City,,,,,,,,,,,,,,704129378,1431951245,3050454531,4374377023,5894540499,,,,
164,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,166403825,189039374,224886488,274851075,130077012,,,,
164,Buffalo City Municipality,City,,,,,,,,,,,,,,559471089,741246762,1522347706,1841692449,2162739494,,,,
164,Mangaung Municipality,City,,,,,,,,,,,,,,45461179,246465537,341761026,257366261,132390525,,,,
164,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
165,City of Johannesburg,City,,,,,,,,,,,,,,0.61,0.71,0.91,0.97,1.04,,,,
165,City of Tshwane,City,,,,,,,,,,,,,,0.83,0.84,0.76,0.78,0.66,,,,
165,City of Cape Town,City,,,,,,,,,,,,,,1.52,1.58,1.5,1.58,1.18,,,,
165,EThekwini Municipality,City,,,,,,,,,,,,,,1.07,1.22,1.37,1.19,1.17,,,,
165,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.69,1.21,1.55,1.39,1.71,,,,
165,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,nan,0.7,0.9,1.09,1.36,,,,
165,Buffalo City Municipality,City,,,,,,,,,,,,,,1.36,1.18,1.6,2.02,2.63,,,,
165,Mangaung Municipality,City,,,,,,,,,,,,,,0.5,0.64,0.82,0.36,0.54,,,,
165,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
166,City of Johannesburg,City,,,,,,,,,,,,,,0.9,0.83,0.74,0.85,0.82,,,,
166,City of Tshwane,City,,,,,,,,,,,,,,0.76,0.79,0.75,0.75,0.76,,,,
166,City of Cape Town,City,,,,,,,,,,,,,,0.76,0.71,0.69,0.71,0.73,,,,
166,EThekwini Municipality,City,,,,,,,,,,,,,,0.92,0.98,0.94,0.87,0.88,,,,
166,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.56,0.55,0.5,0.59,0.57,,,,
166,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,nan,0.79,0.71,0.72,0.64,,,,
166,Buffalo City Municipality,City,,,,,,,,,,,,,,0.57,0.62,0.68,0.5,0.4,,,,
166,Mangaung Municipality,City,,,,,,,,,,,,,,0.49,0.51,0.48,1.01,0.8,,,,
166,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
167,City of Johannesburg,City,,,,,,,,,,,,,,0.63,0.74,0.94,0.99,1.06,,,,
167,City of Tshwane,City,,,,,,,,,,,,,,0.88,0.91,0.83,0.84,0.72,,,,
167,City of Cape Town,City,,,,,,,,,,,,,,1.56,1.62,1.53,1.61,1.21,,,,
167,EThekwini Municipality,City,,,,,,,,,,,,,,1.11,1.25,1.4,1.21,1.2,,,,
167,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.73,1.26,1.59,1.41,1.73,,,,
167,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,nan,0.76,0.94,1.13,1.4,,,,
167,Buffalo City Municipality,City,,,,,,,,,,,,,,1.48,1.33,1.68,2.08,2.7,,,,
167,Mangaung Municipality,City,,,,,,,,,,,,,,0.56,0.68,0.86,0.43,0.62,,,,
167,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
168,City of Johannesburg,City,,,,,,,,,,,,,,0.55,0.52,0.51,0.49,0.47,,,,
168,City of Tshwane,City,,,,,,,,,,,,,,0.54,0.55,0.55,0.55,0.55,,,,
168,City of Cape Town,City,,,,,,,,,,,,,,0.48,0.47,0.46,0.46,0.46,,,,
168,EThekwini Municipality,City,,,,,,,,,,,,,,0.45,0.44,0.45,0.44,0.44,,,,
168,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.16,0.19,0.21,0.25,0.26,,,,
168,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,nan,0.36,0.36,0.36,0.33,,,,
168,Buffalo City Municipality,City,,,,,,,,,,,,,,0.12,0.14,0.18,0.17,0.15,,,,
168,Mangaung Municipality,City,,,,,,,,,,,,,,0.28,0.14,0.16,0.24,0.24,,,,
168,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
169,City of Johannesburg,City,,,,,,,,,,,,,,0,864881000,913521000,1649836000,915793000,,,,
169,City of Tshwane,City,,,,,,,,,,,,,,746049485,811402855,570397687,775162390,419267207,,,,
169,City of Cape Town,City,,,,,,,,,,,,,,77872000,2129894000,215170000,271984000,488361000,,,,
169,EThekwini Municipality,City,,,,,,,,,,,,,,402822000,1391343000,785002000,838210000,582927000,,,,
169,Ekurhuleni Municipality,City,,,,,,,,,,,,,,425487059,124656450,287293601,1698064282,945779833,,,,
169,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,822605000,81492541,936505608,452439734,422871940,,,,
169,Buffalo City Municipality,City,,,,,,,,,,,,,,0,0,0,30555844,43152647,,,,
169,Mangaung Municipality,City,,,,,,,,,,,,,,0,601510438,605365520,13655540,133595140,,,,
169,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
170,City of Johannesburg,City,,,,,,,,,,,,,,1731000,2932000,1144000,4147000,16803000,,,,
170,City of Tshwane,City,,,,,,,,,,,,,,2288398,469472,11385049,6678,329768,,,,
170,City of Cape Town,City,,,,,,,,,,,,,,8000,731000,0,0,294000,,,,
170,EThekwini Municipality,City,,,,,,,,,,,,,,532576000,1327141000,785002000,325271000,27558000,,,,
170,Ekurhuleni Municipality,City,,,,,,,,,,,,,,6706272,35731579,74760420,39113512,770556,,,,
170,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,66176181,69298697,557171342,2654542418,3147050750,,,,
170,Buffalo City Municipality,City,,,,,,,,,,,,,,199867,1980224,1001316,541057,400697,,,,
170,Mangaung Municipality,City,,,,,,,,,,,,,,21326830,40953136,14450673,1176388,148343,,,,
170,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
171,City of Johannesburg,City,,,,,,,,,,,,,5888504,,,,,7093194,,,,
171,City of Tshwane,City,,,,,,,,,,,,,3534009,,,,,5482870,,,,
171,City of Cape Town,City,,,,,,,,,,,,,5237528,,,,,7829746,,,,
171,EThekwini Municipality,City,,,,,,,,,,,,,4719555,,,,,6210567,,,,
171,Ekurhuleni Municipality,City,,,,,,,,,,,,,3979894,,,,,5074158,,,,
171,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,1478388,,,,,1586866,,,,
171,Buffalo City Municipality,City,,,,,,,,,,,,,772764,,,,,1017338,,,,
171,Mangaung Municipality,City,,,,,,,,,,,,,680617,,,,,995955,,,,
171,Msunduzi Municipality,City,,,,,,,,,,,,,672205,,,,,671160,,,,
172,City of Johannesburg,City,,,,,,,,,,,,,79244,,,,,108648,,,,
172,City of Tshwane,City,,,,,,,,,,,,,63886,,,,,87196,,,,
172,City of Cape Town,City,,,,,,,,,,,,,91329,,,,,108246,,,,
172,EThekwini Municipality,City,,,,,,,,,,,,,80415,,,,,85334,,,,
172,Ekurhuleni Municipality,City,,,,,,,,,,,,,67771,,,,,84812,,,,
172,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,47617,,,,,50065,,,,
172,Buffalo City Municipality,City,,,,,,,,,,,,,22344,,,,,40776,,,,
172,Mangaung Municipality,City,,,,,,,,,,,,,23822,,,,,42438,,,,
172,Msunduzi Municipality,City,,,,,,,,,,,,,22120,,,,,33423,,,,
173,City of Johannesburg,City,,,,,,,,,,,,,1702638,,,,,2855328,,,,
173,City of Tshwane,City,,,,,,,,,,,,,504671,,,,,1261823,,,,
173,City of Cape Town,City,,,,,,,,,,,,,1042132,,,,,1196234,,,,
173,EThekwini Municipality,City,,,,,,,,,,,,,549276,,,,,1458312,,,,
173,Ekurhuleni Municipality,City,,,,,,,,,,,,,1677713,,,,,1211729,,,,
173,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,202620,,,,,4180871,,,,
173,Buffalo City Municipality,City,,,,,,,,,,,,,159406,,,,,217126,,,,
173,Mangaung Municipality,City,,,,,,,,,,,,,213414,,,,,535646,,,,
173,Msunduzi Municipality,City,,,,,,,,,,,,,11542,,,,,101513,,,,
174,City of Johannesburg,City,,,,,,,,,,,,,477332,,,,,908284,,,,
174,City of Tshwane,City,,,,,,,,,,,,,129371,,,,,1175811,,,,
174,City of Cape Town,City,,,,,,,,,,,,,795698,,,,,0,,,,
174,EThekwini Municipality,City,,,,,,,,,,,,,1731035,,,,,1819030,,,,
174,Ekurhuleni Municipality,City,,,,,,,,,,,,,1223314,,,,,1230742,,,,
174,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,440463,,,,,441237,,,,
174,Buffalo City Municipality,City,,,,,,,,,,,,,134805,,,,,257370,,,,
174,Mangaung Municipality,City,,,,,,,,,,,,,156285,,,,,238723,,,,
174,Msunduzi Municipality,City,,,,,,,,,,,,,89951,,,,,125425,,,,
175,City of Johannesburg,City,,,,,,,,,,,,,6265894,,,,,10624086,,,,
175,City of Tshwane,City,,,,,,,,,,,,,3272489,,,,,6331958,,,,
175,City of Cape Town,City,,,,,,,,,,,,,3322067,,,,,5938047,,,,
175,EThekwini Municipality,City,,,,,,,,,,,,,4212084,,,,,7062692,,,,
175,Ekurhuleni Municipality,City,,,,,,,,,,,,,4757647,,,,,8191636,,,,
175,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,1087068,,,,,2028431,,,,
175,Buffalo City Municipality,City,,,,,,,,,,,,,538722,,,,,1000418,,,,
175,Mangaung Municipality,City,,,,,,,,,,,,,708828,,,,,1339679,,,,
175,Msunduzi Municipality,City,,,,,,,,,,,,,734965,,,,,1309371,,,,
176,City of Johannesburg,City,,,,,,,,,,,,,6265894,,,,,6425826,,,,
176,City of Tshwane,City,,,,,,,,,,,,,3272489,,,,,3845428,,,,
176,City of Cape Town,City,,,,,,,,,,,,,3322067,,,,,6527650,,,,
176,EThekwini Municipality,City,,,,,,,,,,,,,4212084,,,,,3077080,,,,
176,Ekurhuleni Municipality,City,,,,,,,,,,,,,4757647,,,,,2551403,,,,
176,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,1087068,,,,,1514579,,,,
176,Buffalo City Municipality,City,,,,,,,,,,,,,538722,,,,,906669,,,,
176,Mangaung Municipality,City,,,,,,,,,,,,,708828,,,,,679835,,,,
176,Msunduzi Municipality,City,,,,,,,,,,,,,734965,,,,,532759,,,,
177,City of Johannesburg,City,,,,,,,,,,,,,20477051,,,,,28015401,,,,
177,City of Tshwane,City,,,,,,,,,,,,,11735247,,,,,18185086,,,,
177,City of Cape Town,City,,,,,,,,,,,,,14692773,,,,,21599923,,,,
177,EThekwini Municipality,City,,,,,,,,,,,,,14802600,,,,,19713014,,,,
177,Ekurhuleni Municipality,City,,,,,,,,,,,,,13413021,,,,,18344479,,,,
177,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,4386143,,,,,5802049,,,,
177,Buffalo City Municipality,City,,,,,,,,,,,,,2252013,,,,,3439697,,,,
177,Mangaung Municipality,City,,,,,,,,,,,,,2101137,,,,,3832277,,,,
177,Msunduzi Municipality,City,,,,,,,,,,,,,2230635,,,,,2773650,,,,
178,City of Johannesburg,City,,,,,,,,,,,,,,,,,,6.50%,,,,
178,City of Tshwane,City,,,,,,,,,,,,,,,,,,9.20%,,,,
178,City of Cape Town,City,,,,,,,,,,,,,,,,,,8.00%,,,,
178,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,5.90%,,,,
178,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,6.50%,,,,
178,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,5.80%,,,,
178,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,8.80%,,,,
178,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,12.80%,,,,
178,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
179,City of Johannesburg,City,,,,,,,,,,,,,2.33%,,,,,3.24%,,,,
179,City of Tshwane,City,,,,,,,,,,,,,1.10%,,,,,6.50%,,,,
179,City of Cape Town,City,,,,,,,,,,,,,5.40%,,,,,,,,,
179,EThekwini Municipality,City,,,,,,,,,,,,,11.70%,,,,,9.23%,,,,
179,Ekurhuleni Municipality,City,,,,,,,,,,,,,9.12%,,,,,6.70%,,,,
179,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,10%,,,,,7.60%,,,,
179,Buffalo City Municipality,City,,,,,,,,,,,,,6%,,,,,7.50%,,,,
179,Mangaung Municipality,City,,,,,,,,,,,,,7.40%,,,,,6.20%,,,,
179,Msunduzi Municipality,City,,,,,,,,,,,,,4%,,,,,4.50%,,,,
180,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,1134,,,
180,City of Tshwane,City,,,,,,,,,,,,,,,,,,,1030,,,
180,City of Cape Town,City,,,,,,,,,,,,,,,,,,,913,,,
180,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,906,,,
180,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,620,,,
180,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,887,,,
180,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,1167,,,
180,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,739,,,
180,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,1409,,,
181,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,6742,,,
181,City of Tshwane,City,,,,,,,,,,,,,,,,,,,6742,,,
181,City of Cape Town,City,,,,,,,,,,,,,,,,,,,6742,,,
181,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,
181,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,
181,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,
181,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,
181,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,
181,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,
182,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,16.80%,,,
182,City of Tshwane,City,,,,,,,,,,,,,,,,,,,15.30%,,,
182,City of Cape Town,City,,,,,,,,,,,,,,,,,,,13.50%,,,
182,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,13.50%,,,
182,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,9.20%,,,
182,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,13.20%,,,
182,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,17.30%,,,
182,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,11.00%,,,
182,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,20.90%,,,
183,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,-1.28%,,,
183,City of Tshwane,City,,,,,,,,,,,,,,,,,,,-2.18%,,,
183,City of Cape Town,City,,,,,,,,,,,,,,,,,,,3.99%,,,
183,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,3.99%,,,
183,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,-0.99%,,,
183,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,-0.95%,,,
183,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,0.93%,,,
183,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,-0.47%,,,
183,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,-1.88%,,,
184,City of Johannesburg,City,,,,,,,,,,,1406466,,,,,1107068,,,,,,
184,City of Tshwane,City,,,,,,,,,,,876785,,,,,736009,,,,,,
184,City of Cape Town,City,,,,,,,,,,,1481116,,,,,1134144,,,,,,
184,EThekwini Municipality,City,,,,,,,,,,,1224480,,,,,990263,,,,,,
184,Ekurhuleni Municipality,City,,,,,,,,,,,1065357,,,,,804170,,,,,,
184,Nelson Mandela Bay Municipality,City,,,,,,,,,,,576411,,,,,369366,,,,,,
184,Buffalo City Municipality,City,,,,,,,,,,,563415,,,,,218108,,,,,,
184,Mangaung Municipality,City,,,,,,,,,,,,,,,,204967,,,,,,
184,Msunduzi Municipality,City,,,,,,,,,,,334968,,,,,176361,,,,,,
185,City of Johannesburg,City,,,,,,,,,,,1739292,,,,,2010121,,,,,,
185,City of Tshwane,City,,,,,,,,,,,1061750,,,,,1326427,,,,,,
185,City of Cape Town,City,,,,,,,,,,,1486781,,,,,1745853,,,,,,
185,EThekwini Municipality,City,,,,,,,,,,,1385923,,,,,1666549,,,,,,
185,Ekurhuleni Municipality,City,,,,,,,,,,,1240348,,,,,1424392,,,,,,
185,Nelson Mandela Bay Municipality,City,,,,,,,,,,,513491,,,,,569470,,,,,,
185,Buffalo City Municipality,City,,,,,,,,,,,358460,,,,,384910,,,,,,
185,Mangaung Municipality,City,,,,,,,,,,,,,,,,372692,,,,,,
185,Msunduzi Municipality,City,,,,,,,,,,,233512,,,,,282708,,,,,,
